galaxy_num,system_num,name,x,y,economy_id,economy,govtype_id,govtype,techlev,productivity,radius,population,description
1,0,TIBEDIED,2,90,2,Poor Ind,1,Feudal, 9,11520,4610,4,"This planet is most notable for Tibediedian BNU brandy but ravaged by unpredictable solar activity."
1,1,QUBE,152,205,5,Rich Agri,7,Corporate State, 7,16280,5528,4,"Qube is reasonably well known for its great dense forests but scourged by deadly civil war."
1,2,LELEER,77,243,3,Mainly Ind,3,Dictatorship, 8,13720,3149,4,"The world Leleer is very noted for its pink Leleerian IONTHXE tulip plantations but plagued by a vicious disease."
1,3,BIARGE,83,208,0,Rich Ind,2,Multi-gov,12,22560,4435,5,"This world is very fabled for the Biargian edible poet."
1,4,XEQUERIN,180,131,3,Mainly Ind,4,Communist, 7,14336,3508,4,"The world Xequerin is  fabled for its wierd volcanoes and the Xequerinian mountain lobstoid."
1,5,TIRAOR,172,176,0,Rich Ind,4,Communist,10,26240,4780,5,"Tiraor is a revolting little planet."
1,6,RABEDIRA,69,249,1,Average Ind,2,Multi-gov, 9,15552,3909,4,"The planet Rabedira is  well known for its inhabitants' ancient loathing of sit coms but ravaged by dreadful civil war."
1,7,LAVE,20,173,5,Rich Agri,3,Dictatorship, 5,7000,4116,3,"Lave is most famous for its vast rain forests and the Lavian tree grub."
1,8,ZAATXE,236,0,0,Rich Ind,7,Corporate State,12,45760,4076,6,"This planet is mildly noted for the Zaatxian deadly D  NOoid but ravaged by lethal lethal yaks."
1,9,DIUSREZA,216,98,2,Poor Ind,1,Feudal, 7,8960,6360,3,"This planet is mildly fabled for its inhabitants' eccentric love for tourists but beset by deadly edible moths."
1,10,TEAATIS,4,238,6,Average Agri,1,Feudal, 3,2560,5892,2,"Teaatis is mildly well known for Teaatisian vicious brew."
1,11,RIINUS,93,49,1,Average Ind,4,Communist,10,24192,6493,5,"This world is mildly famous for its vast rain forests and the Riinusian tree grub."
1,12,ESBIZA,244,40,0,Rich Ind,2,Multi-gov, 9,16800,5364,4,"The planet Esbiza is most famous for its vast rain forests."
1,13,ONTIMAXE,84,164,4,Mainly Agri,6,Democracy, 7,16800,6740,4,"This planet is reasonably famous for its inhabitants' exceptional love for food blenders."
1,14,CEBETELA,194,11,3,Mainly Ind,0,Anarchy, 7,6272,4290,3,"This world is most notable for its fabulous  Cebetelaian lethal brandy  but scourged by killer mountain CXEONoids."
1,15,CEEDRA,245,220,4,Mainly Agri,5,Confederacy, 8,16416,4341,4,"This planet is most fabled for its inhabitants' ingrained silliness but scourged by deadly civil war."
1,16,RIZALA,178,84,4,Mainly Agri,5,Confederacy, 9,18144,6578,5,"The planet Rizala is mildly notable for Rizalaian lethal brandy."
1,17,ATRISO,55,245,5,Rich Agri,3,Dictatorship, 8,10360,3127,4,"Atriso is mildly well known for its exotic cuisine and its inhabitants' ingrained silliness."
1,18,TEANREBI,214,7,7,Poor Agri,7,Corporate State, 7,10296,6102,4,"This planet is plagued by frequent earthquakes."
1,19,AZAQU,6,110,6,Average Agri,6,Democracy, 7,11840,6662,4,"The planet Azaqu is most famous for its pink oceans and Zero-G cricket."
1,20,RETILA,175,218,2,Poor Ind,0,Anarchy, 9,8960,6575,4,"This world is ravaged by occasional solar activity."
1,21,SOTIQU,123,149,7,Poor Agri,0,Anarchy, 4,1920,4731,2,"The planet Sotiqu is  famous for its exotic goat soup but ravaged by a killer disease."
1,22,INLEUS,186,26,2,Poor Ind,6,Democracy,11,31360,6074,6,"The world Inleus is most famous for the Inleusian spotted wolf."
1,23,ONRIRA,22,232,0,Rich Ind,7,Corporate State,14,52800,6678,7,"The world Onrira is mildly noted for the Onriraian deadly Soid but cursed by dreadful solar activity."
1,24,CEINZALA,18,20,4,Mainly Agri,3,Dictatorship, 8,12096,4114,4,"This planet is most notable for vicious NSOAB juice but cursed by unpredictable solar activity."
1,25,BIISZA,245,132,4,Mainly Agri,5,Confederacy, 8,16416,4597,4,"The planet Biisza is most famous for its vast rain forests."
1,26,LEGEES,4,253,5,Rich Agri,5,Confederacy, 6,11160,3076,3,"This planet is most notable for its exotic night life but ravaged by frequent earthquakes."
1,27,QUATOR,14,137,3,Mainly Ind,0,Anarchy, 7,6272,5390,3,"The world Quator is scourged by deadly edible arts graduates."
1,28,AREXE,164,89,1,Average Ind,6,Democracy,10,31680,6820,5,"The world Arexe is  fabled for its exciting sit coms and its inhabitants' ancient loathing of sit coms."
1,29,ATRABIIN,96,130,2,Poor Ind,2,Multi-gov, 7,11136,3168,3,"Atrabiin is cursed by killer edible NDIoids."
1,30,USANAT,108,230,6,Average Agri,4,Communist, 4,5888,4972,2,"The world Usanat is a boring world."
1,31,XEESLE,53,209,3,Mainly Ind,1,Feudal, 7,8120,3381,3,"The world Xeesle is a boring planet."
1,32,ORESEREN,206,1,3,Mainly Ind,1,Feudal, 8,9240,5326,4,"Oreseren is a revolting little planet."
1,33,INERA,82,16,0,Rich Ind,7,Corporate State,14,52800,5970,7,"This planet is  noted for its exotic fish meat."
1,34,INUS,204,143,7,Poor Agri,3,Dictatorship, 3,3192,6092,2,"This world is reasonably well known for the Inusian tree wolf but scourged by unpredictable earthquakes."
1,35,ISENCE,52,128,0,Rich Ind,2,Multi-gov, 9,16800,6196,4,"The world Isence is very famous for its unusual casinos but beset by a evil disease."
1,36,REESDICE,149,101,5,Rich Agri,4,Communist, 6,9600,6549,3,"The world Reesdice is reasonably famous for the Reesdician deadly lobstoid."
1,37,TEREA,69,109,5,Rich Agri,4,Communist, 6,9600,5957,3,"This world is very fabled for the Tereaian edible poet."
1,38,ORGETIBE,26,47,7,Poor Agri,2,Multi-gov, 4,3168,5146,2,"This planet is a dull world."
1,39,REORTE,19,151,7,Poor Agri,3,Dictatorship, 6,5208,6419,3,"This planet is mildly fabled for its inhabitants' eccentric love for tourists but plagued by deadly earthquakes."
1,40,QUQUOR,164,220,4,Mainly Agri,7,Corporate State, 8,21120,5540,5,"The planet Ququor is mildly well known for its exotic cuisine."
1,41,GEINONA,143,153,3,Mainly Ind,1,Feudal, 9,10360,3727,4,"This world is ravaged by unpredictable solar activity."
1,42,ANARLAQU,111,127,7,Poor Agri,1,Feudal, 5,3000,5743,3,"This world is mildly famous for its hoopy night life and its exotic night life."
1,43,ORESRI,58,85,5,Rich Agri,4,Communist, 7,10880,5178,4,"The planet Oresri is cursed by dreadful civil war."
1,44,ESESLA,65,190,6,Average Agri,2,Multi-gov, 4,4032,5185,2,"This planet is  noted for Zero-G hockey."
1,45,SOCELAGE,104,85,5,Rich Agri,6,Democracy, 6,12800,4712,4,"This planet is reasonably noted for its exotic goat meat."
1,46,RIEDQUAT,3,181,7,Poor Agri,0,Anarchy, 4,1920,6403,2,"This planet is most notable for its fabulous cuisine but beset by occasional civil war."
1,47,GEREGE,113,58,2,Poor Ind,5,Confederacy,10,25344,3697,5,"The world Gerege is reasonably famous for the Geregian spotted wolf."
1,48,USLE,85,99,3,Mainly Ind,5,Confederacy, 9,20664,4949,5,"This world is very notable for the Uslian tree ant and its inhabitants' exceptional loathing of sit coms."
1,49,MALAMA,234,32,0,Rich Ind,3,Dictatorship,12,26880,5866,6,"The planet Malama is mildly well known for its exotic cuisine."
1,50,AESBION,45,139,3,Mainly Ind,7,Corporate State,10,28952,6701,5,"The planet Aesbion is cursed by dreadful civil war."
1,51,ALAZA,223,6,6,Average Agri,6,Democracy, 8,13120,6879,5,"The world Alaza is scourged by a evil disease."
1,52,XEAQU,104,36,6,Average Agri,0,Anarchy, 2,1408,3432,1,"The world Xeaqu is a dull place."
1,53,RAOROR,11,58,2,Poor Ind,0,Anarchy, 9,8960,3851,4,"This world is very fabled for its wierd volcanoes."
1,54,ORORQU,102,57,1,Average Ind,6,Democracy,12,37440,5222,6,"The planet Ororqu is  well known for its inhabitants' ancient mating traditions but ravaged by unpredictable solar activity."
1,55,LEESTI,13,186,2,Poor Ind,7,Corporate State,11,35200,3085,6,"The planet Leesti is reasonably fabled for Zero-G cricket and Leestian evil juice."
1,56,GEISGEZA,162,87,7,Poor Agri,3,Dictatorship, 5,4536,3746,3,"This planet is  notable for its unusual oceans and the Geisgezaian mountain slug."
1,57,ZAINLABI,164,163,3,Mainly Ind,5,Confederacy, 8,18648,4004,4,"This world is ravaged by unpredictable civil war."
1,58,USCELA,70,117,5,Rich Agri,5,Confederacy, 8,14040,4934,4,"The world Uscela is a boring world."
1,59,ISVEVE,227,149,7,Poor Agri,0,Anarchy, 4,1920,6371,2,"The planet Isveve is reasonably noted for its inhabitants' eccentric shyness and its inhabitants' eccentric shyness."
1,60,TIORANIN,202,86,6,Average Agri,6,Democracy, 7,11840,4810,4,"This world is most notable for Tioraninian vicious brew but ravaged by unpredictable civil war."
1,61,LEARORCE,108,27,3,Mainly Ind,2,Multi-gov, 6,8736,3180,3,"Learorce is reasonably notable for its great dense forests but scourged by deadly edible poets."
1,62,ESUSTI,133,121,1,Average Ind,4,Communist,10,24192,5253,5,"This world is very well known for its inhabitants' ancient loathing of discos and the Esustian spotted cat."
1,63,USUSOR,168,23,7,Poor Agri,1,Feudal, 2,1560,5032,1,"This planet is very notable for its inhabitants' wierd shyness and the Ususorian edible poet."
1,64,MAREGEIS,73,121,3,Mainly Ind,1,Feudal, 7,8120,5705,3,"This world is  fabled for its ancient Maregeisian OXEES tulip plantations."
1,65,AATE,253,35,3,Mainly Ind,7,Corporate State,10,28952,6909,5,"The world Aate is scourged by killer mountain lobstoids."
1,66,SORI,251,252,4,Mainly Agri,3,Dictatorship, 9,13440,4859,5,"The world Sori is beset by a evil disease."
1,67,CEMAVE,6,0,0,Rich Ind,2,Multi-gov,11,20640,4102,5,"The world Cemave is beset by dreadful earthquakes."
1,68,ARUSQUDI,39,22,6,Average Agri,4,Communist, 7,8960,5415,4,"This world is very fabled for its unusual oceans."
1,69,EREDVE,205,250,2,Poor Ind,4,Communist, 9,19968,3021,4,"This planet is beset by a evil disease."
1,70,REGEATGE,159,54,6,Average Agri,2,Multi-gov, 6,5568,6559,3,"Regeatge is reasonably well known for its great dense forests but scourged by frequent civil war."
1,71,EDINSO,3,81,1,Average Ind,3,Dictatorship,12,24696,4867,6,"This planet is mildly noted for its pink Edinsoian   ASOBI  weed plantations but ravaged by vicious mountain monkeys."
1,72,RA,12,135,7,Poor Agri,7,Corporate State, 5,8184,2828,3,"The world Ra is beset by deadly earthquakes."
1,73,ARONAR,53,160,2,Poor Ind,1,Feudal, 8,10240,5429,4,"Aronar is most famous for the Aronarian deadly goat and its hoopy casinos."
1,74,ARRAESSO,138,223,7,Poor Agri,1,Feudal, 4,2520,5514,2,"This planet is  notable for its unusual oceans and its inhabitants' exceptional loathing of food blenders."
1,75,CEVEGE,7,73,1,Average Ind,4,Communist,12,28800,4103,6,"This world is a revolting dump."
1,76,ORTEVE,63,35,3,Mainly Ind,2,Multi-gov, 9,12768,5183,4,"This world is  fabled for its fabulous  vicious O   gargle blasters ."
1,77,GEERRA,108,214,6,Average Agri,6,Democracy, 5,9280,2924,3,"This planet is reasonably noted for its exotic goat soup."
1,78,SOINUSTE,244,48,2,Poor Ind,0,Anarchy, 6,5888,4852,2,"This planet is beset by deadly earthquakes."
1,79,ERLAGE,220,104,0,Rich Ind,5,Confederacy,11,33120,3036,5,"This world is reasonably well known for the Erlagian tree ant but cursed by vicious mountain goats."
1,80,XEAAN,169,67,3,Mainly Ind,5,Confederacy, 9,20664,3497,5,"This world is ravaged by unpredictable civil war."
1,81,VEIS,140,27,3,Mainly Ind,3,Dictatorship, 7,12152,4492,3,"The planet Veis is a boring world."
1,82,ENSOREUS,52,224,0,Rich Ind,7,Corporate State,12,45760,3380,6,"This planet is a tedious little planet."
1,83,RIVEIS,168,110,6,Average Agri,6,Democracy, 5,9280,6568,3,"The world Riveis is most well known for its hoopy casinos."
1,84,BIVEA,210,61,7,Poor Agri,0,Anarchy, 3,1536,4562,2,"This planet is plagued by frequent solar activity."
1,85,ERMASO,139,175,7,Poor Agri,0,Anarchy, 4,1920,2955,2,"This planet is very notable for the Ermasoian edible grub and the Ermasoian tree ant."
